proto,type,wiuid,data
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,780221900203,01111101 11101111 00000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900203,01111101 11101111 00000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900203,01111101 11101111 00000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660907005,10000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,707660907005,10000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,707660907005,10000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660907005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900303,01010101 01011111 11101111 01111011 11001111 01111011 11011111 11101111 00000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660907005,10000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660907005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900503,01010101 01010101 11110111 10111101 11101111 01111011 11000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,707660905005,10000000
PTC,WIU,780221900403,01010101 11110111 10111101 11101111 01111000
PTC,WIU,780221900603,01011111 01111011 11011110
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707647426005,11110111 10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
PTC,WIU,707660905005,10000000
